,Answer,Link,Title
1220,Look carefully at your output:,/questions/1876191/what-exactly-does-the-join-method-do,What exactly does the .join() method do?
1221,==is anequality test. It checks whether the right hand side and the left hand side are equal objects (according to their__eq__or__cmp__methods.),/questions/2209755/python-operation-vs-is-not,Python != operation vs “is not”
1222,The easiest way is to useto_datetime:,/questions/17134716/convert-dataframe-column-type-from-string-to-datetime,Convert DataFrame column type from string to datetime
1223,is indeed the best you're going to get.,/questions/3718657/how-to-properly-determine-current-script-directory,How to properly determine current script directory?
1224,Strings do have a length method:__len__(),/questions/237128/why-does-python-code-use-len-function-instead-of-a-length-method,Why does Python code use len() function instead of a length method?
1225,"Python treats variables in functions differently depending on whether you assign values to them from within the function or not.  If a function contains any assignments to a variable, it is treated by default as a local variable.  Therefore, when you uncomment the line, you are trying to reference a local variable before any value has been assigned to it.",/questions/370357/python-variable-scope-error,Python variable scope error
1226,"Much of the value of PEP-8 is to stop people arguing about inconsequential formatting rules, and get on with writing good, consistently formatted code. Sure, no one really thinks that 79 is optimal, but there's no obvious gain in changing it to 99 or 119 or whatever your preferred line length is. I think the choices are these: follow the rule and find a worthwhile cause to battle for, or provide some data that demonstrates how readability and productivity vary with line length. The latter would be extremely interesting, and would have a good chance of changing people's minds I think.",/questions/88942/why-does-pep-8-specify-a-maximum-line-length-of-79-characters,Why does PEP-8 specify a maximum line length of 79 characters? [closed]
1227,EDIT:,/questions/1986152/why-doesnt-python-have-a-sign-function,Why doesn't Python have a sign function?
1228,https://docs.djangoproject.com/en/dev/topics/db/queries/#creating-objects,/questions/26672077/django-model-vs-model-objects-create,Django Model() vs Model.objects.create()
1229,"I suppose you're probably using theDecimal()objects from thedecimalmodule? (If you need exactly two digits of precision beyond the decimal point with arbitrarily large numbers, you definitely should be, and that's what your question's title suggests...)",/questions/1995615/how-can-i-format-a-decimal-to-always-show-2-decimal-places,How can I format a decimal to always show 2 decimal places?
1230,"dict.fromkeys([1, 2, 3, 4])",/questions/2241891/how-to-initialize-a-dict-with-keys-from-a-list-and-empty-value-in-python,How to initialize a dict with keys from a list and empty value in Python?
1231,"The % (modulo) operator yields the remainder from the division of the first argument by the second. The numeric arguments are first converted to a common type. A zero right argument raises the ZeroDivisionError exception. The arguments may be floating point numbers, e.g., 3.14%0.7 equals 0.34 (since 3.14 equals 4*0.7 + 0.34.) The modulo operator always yields a result with the same sign as its second operand (or zero); the absolute value of the result is strictly smaller than the absolute value of the second operand [2].",/questions/4432208/what-is-the-result-of-in-python,What is the result of % in Python?
1232,"Just for fun, here's how you can adaptfilterto do this without using alambda, (I wouldn't recommend this code - it's just for scientific purposes)",/questions/16096754/remove-none-value-from-a-list-without-removing-the-0-value,remove None value from a list without removing the 0 value
1233,"Your understanding is mostly correct. You useselect_relatedwhen the object that you're going to be selecting is a single object, soOneToOneFieldor aForeignKey. You useprefetch_relatedwhen you're going to get a ""set"" of things, soManyToManyFields as you stated or reverseForeignKeys. Just to clarify what I mean by ""reverseForeignKeys"" here's an example:",/questions/31237042/whats-the-difference-between-select-related-and-prefetch-related-in-django-orm,What's the difference between select_related and prefetch_related in Django ORM?
1234,What is to stop you usingmyproduct.myproduct? What you need to achieve that roughly consists of doing this:,/questions/4879036/django-projects-vs-apps,Django: “projects” vs “apps”
1235,"This should do what you want (file contents in a list, by line, without \n)",/questions/15233340/getting-rid-of-n-when-using-readlines,Getting rid of \n when using .readlines() [duplicate]
1236,This works as you suggest - you just have to specify the class name as well:,/questions/15971735/running-single-test-from-unittest-testcase-via-command-line,Running single test from unittest.TestCase via command line
1237,Usezip(*list):,/questions/12974474/how-to-unzip-a-list-of-tuples-into-individual-lists,How to unzip a list of tuples into individual lists? [duplicate]
1238,"Use ""\n"":",/questions/2918362/writing-string-to-a-file-on-a-new-line-every-time,Writing string to a file on a new line every time
1239,You can use.replace.  For example:,/questions/20250771/remap-values-in-pandas-column-with-a-dict,Remap values in pandas column with a dict
1240,Just for the record:,/questions/1841565/valueerror-invalid-literal-for-int-with-base-10,ValueError: invalid literal for int() with base 10: ''
1241,Try the following:,/questions/12323403/how-do-i-find-an-element-that-contains-specific-text-in-selenium-webdriver-pyth,How do I find an element that contains specific text in Selenium Webdriver (Python)?
1242,"Hereis a useful solution that works for various operating systems, including Linux, Windows 7, etc.:",/questions/938733/total-memory-used-by-python-process,Total memory used by Python process?
1243,It looks like you were on the right track -get_FOO_display()is most certainly what you want:,/questions/4320679/django-display-choice-value,Django: Display Choice Value
1244,Write a custom template filter:,/questions/8000022/django-template-how-to-look-up-a-dictionary-value-with-a-variable,Django template how to look up a dictionary value with a variable
1245,"They're both correct, but yours is preferred from the point of view of numerical stability.",/questions/34968722/how-to-implement-the-softmax-function-in-python,How to implement the Softmax function in Python
1246,"Addressing the above ""too small a task to require a library"" issue by a straightforward implementation:",/questions/1094841/reusable-library-to-get-human-readable-version-of-file-size,Reusable library to get human readable version of file size?
1247,This works for me:,/questions/10998621/rotate-axis-text-in-python-matplotlib,Rotate axis text in python matplotlib
1248,"If you want to know how many values match in both the dictionaries, you should have said that :)",/questions/4527942/comparing-two-dictionaries-in-python,Comparing two dictionaries in Python
1249,Use,/questions/4668619/django-database-query-how-to-filter-objects-by-date-range,Django database query: How to filter objects by date range?
1250,"For the special date of January 1, 1970 there are multiple options.",/questions/7852855/in-python-how-do-you-convert-a-datetime-object-to-seconds,"In Python, how do you convert a `datetime` object to seconds?"
1251,i use something like this:,/questions/32899/how-do-you-generate-dynamic-parameterized-unit-tests-in-python,How do you generate dynamic (parameterized) unit tests in python?
1252,you needitertools.product:,/questions/798854/all-combinations-of-a-list-of-lists,All combinations of a list of lists
1253,The standard colormaps also all have reversed versions. They have the same names with_rtacked on to the end. (Documentation here.),/questions/3279560/reverse-colormap-in-matplotlib,Reverse colormap in matplotlib
1254,"I can't really give a definitive answer, because by the time I interviewed at Google in 2004 Python was already prominent at Google.",/questions/2560310/heavy-usage-of-python-at-google,Heavy usage of Python at Google [closed]
1255,"I provided this answer because Keith's, while succinct, doesn't close the fileexplicitly",/questions/6475328/how-can-i-read-large-text-files-in-python-line-by-line-without-loading-it-into,"How can I read large text files in Python, line by line, without loading it into memory?"
1256,"Yes, it acts like thefinallyblock after atryblock, i.e. it always executes (unless the python process terminates in an unusual way of course).",/questions/9885217/in-python-if-i-return-inside-a-with-block-will-the-file-still-close,"In Python, if I return inside a “with” block, will the file still close?"
1257,Note: this post assumes Python 3.x syntax.†,/questions/1756096/understanding-generators-in-python,Understanding generators in Python
1258,Implement__missing__on adictsubclass to set and return a new instance.,/questions/635483/what-is-the-best-way-to-implement-nested-dictionaries,What is the best way to implement nested dictionaries?
1259,"It means that you created an infinite  list nested inside itself, which can not be printed.pcontainspwhich containsp... and so on. The[...]notation is a way to let you know this, and to inform that it can't be represented! Take a look at @6502's answer to see a nice picture showing what's happening.",/questions/17160162/what-do-ellipsis-mean-in-a-list,What do ellipsis […] mean in a list?
1260,"You cannot return two values, but you can return atupleor alistand unpack it after the call:",/questions/9752958/how-can-i-return-two-values-from-a-function-in-python,How can I return two values from a function in Python?
1261,"Curly braces. Passing keyword arguments intodict(), though it works beautifully in a lot of scenarios, can only initialize a map if the keys are valid Python identifiers.",/questions/2853683/what-is-the-preferred-syntax-for-initializing-a-dict-curly-brace-literals-or,What is the preferred syntax for initializing a dict: curly brace literals {} or the dict() function?
1262,"I like to quote Peters' Zen of Python.  ""Explicit is better than implicit.""",/questions/68282/why-do-you-need-explicitly-have-the-self-argument-into-a-python-method,Why do you need explicitly have the “self” argument into a Python method?
1263,"The%operator, when following a string, allows you to insert values into that string via format codes (the%din this case). For more details, see the Python documentation:",/questions/2960772/how-do-i-put-a-variable-inside-a-string-in-python,How do I put a variable inside a String in Python?
1264,"You may access the internal__dict__of a SQLAlchemy object, like the following::",/questions/1958219/convert-sqlalchemy-row-object-to-python-dict,Convert sqlalchemy row object to python dict
1265,"Do awhile Trueinside your for loop, put yourtrycode inside, and break from thatwhileloop only when your code succeeds.",/questions/2083987/how-to-retry-after-exception,How to retry after exception?
1266,You can do it using this class I just made. With this class you can use theMapobject like another dictionary(including json serialization) or with the dot notation. I hope to help you:,/questions/2352181/how-to-use-a-dot-to-access-members-of-dictionary,How to use a dot “.” to access members of dictionary?
1267,"In binary, 0xE9 looks like1110 1001. If you read aboutUTF-8 on Wikipedia, you’ll see that such a byte must be followed by two of the form10xx xxxx. So, for example:",/questions/5552555/unicodedecodeerror-invalid-continuation-byte,"UnicodeDecodeError, invalid continuation byte"
1268,Thedatetimemodule is your friend:,/questions/30071886/how-to-get-current-time-in-python-and-break-up-into-year-month-day-hour-minu,"How to get current time in python and break up into year, month, day, hour, minute?"
1269,A virtual machine is a virtual computing environment with a specific set of atomic well defined instructions that are supported independent of any specific language and it is generally thought of as a sandbox unto itself. The VM is analogous to an instruction set of a specific CPU and tends to work at a more fundamental level with very basic building blocks of such instructions (or byte codes) that are independent of the next. An instruction executes deterministically based only on the current state of the virtual machine and does not depend on information elsewhere in the instruction stream at that point in time.,/questions/441824/java-virtual-machine-vs-python-interpreter-parlance,Java “Virtual Machine” vs. Python “Interpreter” parlance?
1270,The following code will load an image from a fileimage.pngand will display it as grayscale.,/questions/3823752/display-image-as-grayscale-using-matplotlib,Display image as grayscale using matplotlib
1271,"""Djangois a high-level Python Web framework that encourages rapid development and clean, pragmatic design"". If you are building something that is similar to a e-commerce site, then you should probably go with Django. It will get your work done quick. You dont have to worry about too many technology choices. It provides everything thing you need from template engine to ORM. It will be slightly opinionated about the way you structure your app, which is good If you ask me. And it has the strongest community of all the other libraries, which means easy help is available.",/questions/13941903/when-to-use-tornado-when-to-use-twisted-cyclone-gevent-other,"When to use Tornado, when to use Twisted / Cyclone / GEvent / other [closed]"
1272,There is no such function; the easiest way to do this is to use a dict comprehension:,/questions/12229064/mapping-over-values-in-a-python-dictionary,Mapping over values in a python dictionary
1273,I would suggest readingPEP 483andPEP 484and watchingthispresentation by Guido on Type Hinting.,/questions/32557920/what-are-type-hints-in-python-3-5,What are Type hints in Python 3.5
1274,The closest equivalent to Java'stoStringis to implement__str__for your class. Put this in your class definition:,/questions/4912852/how-do-i-change-the-string-representation-of-a-python-class,How do I change the string representation of a Python class? [duplicate]
1275,How about subclassingjson.JSONEncoder?,/questions/1960516/python-json-serialize-a-decimal-object,Python JSON serialize a Decimal object
1276,You can either Drop the columns you do not need OR Select the ones you need,/questions/14940743/selecting-excluding-sets-of-columns-in-pandas,Selecting/excluding sets of columns in pandas [duplicate]
1277,"See the documentation onhow to access the Request objectand then get from this same Request object, the attributeremote_addr.",/questions/3759981/get-ip-address-of-visitors-using-flask-for-python,Get IP address of visitors using Flask for Python
1278,"It's not in the order you want, but dicts don't have any specific order anyway.1Sort it or organize it as necessary.",/questions/674519/how-can-i-convert-a-python-dictionary-to-a-list-of-tuples,How can I convert a Python dictionary to a list of tuples?
1279,I believe this is what you want:,/questions/15411158/pandas-countdistinct-equivalent,Pandas count(distinct) equivalent
1280,"base64 encoding takes 8-bit binary byte data and encodes it uses only the charactersA-Z,a-z,0-9,+,/* so it can be transmitted over channels that do not preserve all 8-bits of data, such as email.",/questions/8908287/why-do-i-need-b-to-encode-a-python-string-with-base64,Why do I need 'b' to encode a Python string with Base64?
1281,"In Ruby and Perl 6 this has been called ""splat"", and I think most people from those communities will figure out what you mean if you call it that.",/questions/2322355/proper-name-for-python-operator,proper name for python * operator?
1282,NA,/questions/196345/how-to-check-if-a-string-in-python-is-in-ascii,How to check if a string in Python is in ASCII?
1283,NA,/questions/3368969/find-string-between-two-substrings,Find string between two substrings [duplicate]
1284,NA,/questions/1712116/formatting-yesterdays-date-in-python,Formatting “yesterday's” date in python
1285,"Both empty lists and empty sets are False, so you can use the value directly as a truth value.",/questions/740287/how-to-check-if-one-of-the-following-items-is-in-a-list,How to check if one of the following items is in a list?
1286,"For file operations, Python uses the operating system's default buffering unless you configure it do otherwise.  You can specify a buffer size, unbuffered, or line buffered.",/questions/3167494/how-often-does-python-flush-to-a-file,How often does python flush to a file?
1287,Here's the working version of the code in question (requires at least version Matplotlib 1.1.0 from 2011-11-14):,/questions/11874767/how-do-i-plot-in-real-time-in-a-while-loop-using-matplotlib,How do I plot in real-time in a while loop using matplotlib?
1288,"pip is run from the command line, not the Python interpreter. It is a program thatinstallsmodules, so you can use them from Python. Once you have installed the module, then you can open the Python shell and doimport selenium.",/questions/8548030/why-does-pip-install-inside-python-raise-a-syntaxerror,Why does “pip install” inside Python raise a SyntaxError?
1289,"This is the behaviour to adopt when thereferencedobject is deleted. It is not specific to django, this is an SQL standard.",/questions/38388423/what-does-on-delete-do-on-django-models,what does on_delete do on Django models?
1290,"You could use thepicklemodule in the standard library.
Here's an elementary application of it to your example:",/questions/4529815/saving-an-object-data-persistence,Saving an Object (Data persistence)
1291,Usegroupbyandcount:,/questions/22391433/count-the-frequency-that-a-value-occurs-in-a-dataframe-column,count the frequency that a value occurs in a dataframe column
1292,Use urllib2 in combination with the brilliantBeautifulSouplibrary:,/questions/2081586/web-scraping-with-python,Web scraping with Python
1293,"Sorry EMS, but I actually just got another response from the matplotlib mailling list (Thanks goes out to Benjamin Root).",/questions/10101700/moving-matplotlib-legend-outside-of-the-axis-makes-it-cutoff-by-the-figure-box,Moving matplotlib legend outside of the axis makes it cutoff by the figure box
1294,Here is what is going on.,/questions/1977362/how-to-create-module-wide-variables-in-python,How to create module-wide variables in Python?
1295,"The error here, is since calling the DataFrame constructor with scalar values (where it expects values to be a list/dict/... i.e. have multiple columns):",/questions/18837262/convert-python-dict-into-a-dataframe,Convert Python dict into a dataframe
1296,Here is how you would do this with a nested list comprehension:,/questions/18072759/list-comprehension-on-a-nested-list,List comprehension on a nested list?
1297,You are looking for thechrfunction.,/questions/2269827/how-to-convert-an-int-to-a-hex-string,How to convert an int to a hex string?
1298,Slowest and doesn't work in Python3: concatenate theitemsand calldicton the resulting list:,/questions/1781571/how-to-concatenate-two-dictionaries-to-create-a-new-one-in-python,how to concatenate two dictionaries to create a new one in Python? [duplicate]
1299,Just create and add Python SDK,/questions/6102908/how-do-i-get-intellij-to-recognize-common-python-modules,How do I get IntelliJ to recognize common Python modules?
1300,"NumPy 1.8 introducednp.full(), which is a more direct method thanempty()followed byfill()for creating an array filled with a certain value:",/questions/5891410/numpy-array-initialization-fill-with-identical-values,NumPy array initialization (fill with identical values)
1301,When doing this inside anexcept ...:block it will automatically use the current exception. Seehttp://docs.python.org/library/traceback.htmlfor more information.,/questions/9555133/e-printstacktrace-equivalent-in-python,e.printStackTrace equivalent in python
1302,I have some code that fetches an image off the web and stores it in a model.  The important bits are:,/questions/1308386/programmatically-saving-image-to-django-imagefield,Programmatically saving image to Django ImageField
1303,"UPDATE:This question was the subject of my blog on the 15th of October, 2012.Thanks for the great question!",/questions/9929585/seeking-clarification-on-apparent-contradictions-regarding-weakly-typed-language,Seeking clarification on apparent contradictions regarding weakly typed languages
1304,numpy.arrayis just a convenience function to create anndarray; it is not a class itself.,/questions/15879315/what-is-the-difference-between-ndarray-and-array-in-numpy,What is the difference between ndarray and array in numpy?
1305,Step 1:Go to the the first column of the first line you want to comment.,/questions/2561418/how-to-comment-out-a-block-of-python-code-in-vim,How to comment out a block of Python code in Vim
1306,"See also: ""numpy.arange"" and ""reshape"" to allocate memory",/questions/903853/how-do-you-extract-a-column-from-a-multi-dimensional-array,How do you extract a column from a multi-dimensional array?
1307,"Adjecent string literals are concatenated at compile time, just as in C.http://docs.python.org/reference/lexical_analysis.html#string-literal-concatenationis a good place to start for more info.",/questions/3346230/wrap-long-lines-in-python,Wrap long lines in Python [duplicate]
1308,"If you have adatetime.timedeltavaluetd,td.daysalready gives you the ""days"" you want.timedeltavalues keep fraction-of-day as seconds (not directly hours or minutes) so you'll indeed have to perform ""nauseatingly simple mathematics"", e.g.:",/questions/2119472/convert-a-timedelta-to-days-hours-and-minutes,"Convert a timedelta to days, hours and minutes"
1309,Take a look atPEP-238: Changing the Division Operator,/questions/1282945/python-integer-division-yields-float,Python integer division yields float
1310,"Mine is, basically, a directory called ""plugins"" which the main app can poll and then useimp.load_moduleto pick up files, look for a well-known entry point possibly with module-level config params, and go from there. I use file-monitoring stuff for a certain amount of dynamism in which plugins are active, but that's a nice-to-have.",/questions/932069/building-a-minimal-plugin-architecture-in-python,Building a minimal plugin architecture in Python
1311,"If, like me, you are running your django in a virtualenv, and getting this error, look at yourmanage.py.
The first line should define the python executable used to run the script.
This should be the path to your virtualenv's python, but it is something wrong like /usr/bin/python, which is not the same path and will use the global python environment (and packages will be missing).
Just change the path into the path to the python executable in your virtualenv.",/questions/6049933/django-import-error-no-module-named-core-management,django import error - No module named core.management
1312,"You can write an object that behaves like a dict quite easily withABCs
(Abstract Base Classes) from thecollectionsmodule.  It even tells you
if you missed a method, so below is the minimal version that shuts the ABC up.",/questions/3387691/how-to-perfectly-override-a-dict,How to “perfectly” override a dict?
1313,"I think you have pointed out the most obvious difference. Apart from that,",/questions/6610606/is-there-a-difference-between-using-a-dict-literal-and-a-dict-constructor,Is there a difference between using a dict literal and a dict constructor?
1314,"You can't add a list to a set because lists are mutable, meaning that you can change the contents of the list after adding it to the set.",/questions/1306631/python-add-list-to-set,Python: Add list to set?
1315,"Since version 1.7.0, NumPy has achoicefunction that supports probability distributions.",/questions/3679694/a-weighted-version-of-random-choice,A weighted version of random.choice
1316,You can install it using binstar:,/questions/23119413/how-do-i-install-python-opencv-through-conda,How do I install Python OpenCV through Conda?
1317,"You might want to look into a Python package manager likepip.  If you don't want to use a Python package manager, you should be able to download M2Crypto and build/compile/install over the old installation.",/questions/5183672/how-do-i-update-a-python-package,How do I update a Python package?
1318,"Your ""scary"" solution does not appear scary to me.  Callingshuffle()for two sequences of the same length results in the same number of calls to the random number generator, and these are the only ""random"" elements in the shuffle algorithm.  By resetting the state, you ensure that the calls to the random number generator will give the same results in the second call toshuffle(), so the whole algorithm will generate the same permutation.",/questions/4601373/better-way-to-shuffle-two-numpy-arrays-in-unison,Better way to shuffle two numpy arrays in unison
1319,Just place the colorbar in its own axis and usesubplots_adjustto make room for it.,/questions/13784201/matplotlib-2-subplots-1-colorbar,"Matplotlib 2 Subplots, 1 Colorbar"
1320,"Adam's answer is quite fast, but I found thatrandom.getrandbits(1)to be quite a lot faster. If you really want a boolean instead of a long then",/questions/6824681/get-a-random-boolean-in-python,Get a random boolean in python?
1321,"Indeed, pandas provides high level data manipulation tools built on top of NumPy. NumPy by itself is a fairly low-level tool, and will be very much similar to using MATLAB. pandas on the other hand provides rich time series functionality, data alignment, NA-friendly statistics, groupby, merge and join methods, and lots of other conveniences. It has become very popular in recent years in financial applications. I will have a chapter dedicated to financial data analysis using pandas in my upcoming book.",/questions/11077023/what-are-the-differences-between-pandas-and-numpyscipy-in-python,What are the differences between Pandas and NumPy+SciPy in Python? [closed]
1322,or just,/questions/2212433/counting-the-number-of-keywords-in-a-dictionary-in-python,Counting the Number of keywords in a dictionary in python
1323,NA,/questions/1761744/read-password-from-stdin,Read password from stdin
1324,NA,/questions/2872512/python-truncate-a-long-string,Python truncate a long string
1325,Break the file into 128-byte chunks and feed them to MD5 consecutively usingupdate().,/questions/1131220/get-md5-hash-of-big-files-in-python,Get MD5 hash of big files in Python
1326,"From Stack Overflow questionWhat is the Python 3 equivalent of ""python -m SimpleHTTPServer"":",/questions/17351016/set-up-python-simplehttpserver-on-windows,Set up Python simpleHTTPserver on Windows [duplicate]
1327,Your install is failing because you don't have the python development headers installed. You can do this through apt on ubuntu/debian with:,/questions/11094718/error-command-gcc-failed-with-exit-status-1-while-installing-eventlet,error: command 'gcc' failed with exit status 1 while installing eventlet
1328,There are a couple of ways:,/questions/3805958/how-to-delete-a-record-in-django-models,How to delete a record in Django models?
1329,To check if a path is an existing file:,/questions/2259382/pythonic-way-to-check-if-a-file-exists,Pythonic way to check if a file exists? [duplicate]
1330,"In the file that has the script, you want to do something like this:",/questions/918154/relative-paths-in-python,Relative paths in Python
1331,All integers that can be represented by floating point numbers have an exact representation. So you can safely useinton the result. Inexact representations occur only if you are trying to represent a rational number with a denominator that is not a power of two.,/questions/3387655/safest-way-to-convert-float-to-integer-in-python,Safest way to convert float to integer in python?
1332,"In Python you can""chain"" comparison operationswhich just means they are ""and""ed together.  In your case, it'd be like this:",/questions/26502775/pycharm-simplify-chained-comparison,PyCharm: “Simplify Chained Comparison”
1333,This answer comes from Steven Bethardon Google groups. I'm reposting it here to make it easier for people without a Google account to access.,/questions/4042452/display-help-message-with-python-argparse-when-script-is-called-without-any-argu,Display help message with python argparse when script is called without any arguments
1334,it seems that,/questions/24627525/fatal-error-in-launcher-unable-to-create-process-using-c-program-files-x86,Fatal error in launcher: Unable to create process using “”C:\Program Files (x86)\Python33\python.exe“ ”C:\Program Files (x86)\Python33\pip.exe“”
1335,"to be precise, it creates a new list with float values. Unlike themapapproach it will work in py3k.",/questions/1614236/in-python-how-do-i-convert-all-of-the-items-in-a-list-to-floats,"In Python, how do I convert all of the items in a list to floats?"
1336,"Yoursetup.pyfile needssetuptools. Some Python packages used to usedistutilsfor distribution, but most now usesetuptools, a more complete package.Hereis a question about the differences between them.",/questions/14426491/python-3-importerror-no-module-named-setuptools,Python 3: ImportError “No Module named Setuptools”
1337,ABCs offer a higher level of semantic contract between clients and the implemented classes.,/questions/3570796/why-use-abstract-base-classes-in-python,Why use Abstract Base Classes in Python?
1338,sys.exit()will do exactly what you want.,/questions/543309/programmatically-stop-execution-of-python-script,Programmatically stop execution of python script? [duplicate]
1339,"OK, two steps to this - first is to write a function that does the translation you want - I've put an example together based on your pseudo-code:",/questions/26886653/pandas-create-new-column-based-on-values-from-other-columns,pandas create new column based on values from other columns
1340,"If you need compatibility with ancient versions of Python, you can either usegmpy(which does include a fast, completely general int-to-string conversion function, and can be built for such ancient versions -- you may need to try older releases since the recent ones have not been tested for venerable Python and GMP releases, only somewhat recent ones), or, for less speed but more convenience, use Python code -- e.g., most simply:",/questions/2267362/how-to-convert-an-integer-in-any-base-to-a-string,How to convert an integer in any base to a string?
1341,"plt.subplots()is a function that returns a tuple containing a figure and axes object(s). Thus when usingfig, ax = plt.subplots()you unpack this tuple into the variablesfigandax. Havingfigis useful if you want to change figure-level attributes or save the figure as an image file later (e.g. withfig.savefig('yourfilename.png'). You certainly don't have to use the returned figure object but many people do use it later so it's common to see. Also, all axes objects (the objects that have plotting methods), have a parent figure object anyway, thus:",/questions/34162443/why-do-many-examples-use-fig-ax-plt-subplots-in-matplotlib-pyplot-python,"Why do many examples use “fig, ax = plt.subplots()” in Matplotlib/pyplot/python"
1342,"TheSciPy webpageused to provide build and installation instructions, but the instructions there now rely on OS binary distributions. To build SciPy (and NumPy) on operating systems without precompiled packages of the required libraries, you must build and then statically link to the Fortran librariesBLASandLAPACK:",/questions/7496547/does-python-scipy-need-blas,Does Python SciPy need BLAS?
1343,Use a list comprehension:,/questions/3428536/python-list-subtraction-operation,Python list subtraction operation
1344,Thedismodule disassembles the byte code for a function and is useful to see the difference between tuples and lists.,/questions/68630/are-tuples-more-efficient-than-lists-in-python,Are tuples more efficient than lists in Python?
1345,Do you mean this?,/questions/803616/passing-functions-with-arguments-to-another-function-in-python,Passing functions with arguments to another function in Python?
1346,Like this:,/questions/9358983/dictionaries-and-default-values,Dictionaries and default values
1347,"Here is alist of what can be pickled. In particular, functions are only picklable if they are defined at the top-level of a module.",/questions/8804830/python-multiprocessing-picklingerror-cant-pickle-type-function,Python multiprocessing PicklingError: Can't pickle <type 'function'>
1348,A simple way to do this is to useStringIOand pass that to thepandas.read_csvfunction. E.g:,/questions/22604564/create-pandas-dataframe-from-a-string,Create Pandas DataFrame from a string
1349,"There you go.  Use float (which behaves like and has the same precision as a C,C++, or Java double).",/questions/482410/how-do-i-convert-a-string-to-a-double-in-python,How do I convert a string to a double in Python?
1350,Theuser-agentshould be specified as a field in the header.,/questions/10606133/sending-user-agent-using-requests-library-in-python,Sending “User-agent” using Requests library in Python
1351,"Python 2.6 added a new strftime/strptime macro%f, which does microseconds.  Not sure if this is documented anywhere.  But if you're using 2.6 or 3.0, you can do this:",/questions/698223/how-can-i-parse-a-time-string-containing-milliseconds-in-it-with-python,How can I parse a time string containing milliseconds in it with python?
1352,Checkpandas.__version__:,/questions/20612645/how-to-find-the-installed-pandas-version,How to find the installed pandas version
1353,__all__is very good - it helps guide import statements without automatically importing moduleshttp://docs.python.org/tutorial/modules.html#importing-from-a-package,/questions/1944569/how-do-i-write-good-correct-package-init-py-files,How do I write good/correct package __init__.py files
1354,"Edit- based on your comment of dates being needed to be rounded down if there are fewer days in the next month, here is a solution:",/questions/4130922/how-to-increment-datetime-by-custom-months-in-python-without-using-library,How to increment datetime by custom months in python without using library [duplicate]
1355,How about,/questions/8603088/sqlalchemy-in-clause,SQLAlchemy IN clause
1356,"HTTP sends bytes. If the resource in question is text, the character encoding is normally specified, either by the Content-Type HTTP header or by another mechanism (an RFC, HTMLmeta http-equiv,...).",/questions/6862770/let-json-object-accept-bytes-or-let-urlopen-output-strings,Let JSON object accept bytes or let urlopen output strings
1357,You can use theosmodule.,/questions/8248397/how-to-know-change-current-directory-in-python-shell,How to know/change current directory in Python shell?
1358,"Python (the language) doesn't need a GIL (which is why it can perfectly be implemented on JVM [Jython] and .NET [IronPython], and those implementations multithread freely). CPython (the popular implementation) has always used a GIL for ease of coding (esp. the coding of the garbage collection mechanisms) and of integration of non-thread-safe C-coded libraries (there used to be a ton of those around;-).",/questions/991904/why-is-there-no-gil-in-the-java-virtual-machine-why-does-python-need-one-so-bad,Why is there no GIL in the Java Virtual Machine? Why does Python need one so bad?
1359,Yes it's the exact same thing inPython 2:,/questions/16228248/how-can-i-get-list-of-values-from-dict,How can I get list of values from dict?
1360,"You can't directly determine the location of the main script being executed.  After all, sometimes the script didn't come from a file at all.  For example, it could come from the interactive interpreter or dynamically generated code stored only in memory.",/questions/2632199/how-do-i-get-the-path-of-the-current-executed-file-in-python,How do I get the path of the current executed file in Python?
1361,"Tested on WinXP, Python 2.6 after installingpywin32(pywin32-214.win32-py2.6.exe in my case):",/questions/1181464/controlling-mouse-with-python,Controlling mouse with Python
1362,"On Windows, always open your files in binary mode (""rb"" or ""wb"") before passing them to csv.reader or csv.writer.",/questions/3191528/csv-in-python-adding-an-extra-carriage-return-on-windows,"CSV in Python adding an extra carriage return, on Windows"
1363,"If you want the length of an integer as in the number of digits in the integer, you can always convert it to string likestr(133)and find its length likelen(str(123)).",/questions/2189800/length-of-an-integer-in-python,Length of an integer in Python
1364,Yet another solution that doesn't require changes in python code and so is better for designers and one-off presentational changes:django-widget-tweaks. Hope somebody will find it useful.,/questions/401025/define-css-class-in-django-forms,Define css class in django Forms
1365,As you'd expect:,/questions/4880960/how-to-sum-all-the-values-in-a-dictionary,How to sum all the values in a dictionary?
1366,pytest.raises(Exception)is what you need.,/questions/23337471/how-to-properly-assert-that-an-exception-gets-raised-in-pytest,How to properly assert that an exception gets raised in pytest?
1367,You can just get/set the index via itsnameproperty,/questions/18022845/pandas-index-column-title-or-name,Pandas index column title or name
1368,"If you have aTensort, callingt.eval()is equivalent to callingtf.get_default_session().run(t).",/questions/33610685/in-tensorflow-what-is-the-difference-between-session-run-and-tensor-eval,"In TensorFlow, what is the difference between Session.run() and Tensor.eval()?"
1369,"Thedecodemethod of unicode strings really doesn't have any applications at all (unless you have some non-text data in a unicode string for some reason -- see below). It is mainly there for historical reasons, i think. In Python 3 it is completely gone.",/questions/447107/what-is-the-difference-between-encode-decode,What is the difference between encode/decode?
1370,Since the list is ordered you can do this:,/questions/2161752/how-to-count-the-frequency-of-the-elements-in-a-list,How to count the frequency of the elements in a list?
1371,NA,/questions/2493920/how-to-switch-position-of-two-items-in-a-python-list,How to switch position of two items in a Python list?
